都道府県,物件タイプ,部屋種別,駅,家賃,lon,lat
tokyo,一戸建て・その他,ワンルーム,恵比寿,10.1万円,139.7098536,35.6468144
tokyo,一戸建て・その他,ワンルーム,渋谷,10.1万円,139.70145854545456,35.65893609090909
tokyo,一戸建て・その他,ワンルーム,原宿,13.9万円,139.702592,35.670646
tokyo,一戸建て・その他,ワンルーム,代々木,14.5万円,139.70191666666668,35.68311333333333
tokyo,一戸建て・その他,ワンルーム,新宿,14.3万円,139.70006215384618,35.68993538461538
tokyo,一戸建て・その他,ワンルーム,新大久保,11.7万円,139.700261,35.700875
tokyo,一戸建て・その他,ワンルーム,高田馬場,5.7万円,139.70405833333334,35.71289733333333
tokyo,一戸建て・その他,ワンルーム,目白,5.4万円,139.706228,35.720476
tokyo,一戸建て・その他,ワンルーム,池袋,8.3万円,139.7106608888889,35.730262555555555
tokyo,一戸建て・その他,ワンルーム,大塚,6.8万円,139.728584,35.731412
tokyo,一戸建て・その他,ワンルーム,巣鴨,4.6万円,139.738911,35.7334735
tokyo,一戸建て・その他,ワンルーム,駒込,4.5万円,139.7472475,35.736892
tokyo,一戸建て・その他,ワンルーム,田端,7.4万円,139.761229,35.737781
tokyo,一戸建て・その他,ワンルーム,西日暮里,6.5万円,139.7667705,35.73202975
tokyo,一戸建て・その他,ワンルーム,日暮里,7.2万円,139.771287,35.727908
tokyo,一戸建て・その他,ワンルーム,鶯谷,9.5万円,139.778015,35.721484
tokyo,一戸建て・その他,ワンルーム,上野,5.4万円,139.77706275,35.713213
tokyo,一戸建て・その他,ワンルーム,御徒町,7.9万円,139.774727,35.707282
tokyo,一戸建て・その他,ワンルーム,秋葉原,11.9万円,139.7739192,35.6985816
tokyo,一戸建て・その他,ワンルーム,神田,9.6万円,139.77070550000002,35.6917765
